法规分类,法规名称,依据编码,法规条款,条款内容,关键词,适用场景
行政法规,城镇燃气管理条例,REG-001,第十四条 燃气经营许可,国家对燃气经营实行许可证制度。从事燃气经营活动的企业应当具备：符合燃气发展规划要求；有符合国家标准的燃气气源和燃气设施；有固定的经营场所、完善的安全管理制度和健全的经营方案；企业主要负责人、安全生产管理人员以及运行、维护和抢修人员经专业培训并考核合格。,燃气经营 许可证 资质,企业资质要求
行政法规,城镇燃气管理条例,REG-001,第十九条 设施维护责任,管道燃气经营者对其供气范围内的市政燃气设施、建筑区划内业主专有部分以外的燃气设施，承担运行、维护、抢修和更新改造的责任。,维护 责任 管道 设施,设施维护责任划分
行政法规,城镇燃气管理条例,REG-001,第二十七条 用户安全义务,燃气用户应当遵守安全用气规则，使用合格的燃气燃烧器具和气瓶，及时更换国家明令淘汰或者使用年限已届满的燃气燃烧器具、连接管等。单位燃气用户还应当建立健全安全管理制度，加强对操作维护人员燃气安全知识和操作技能的培训。,用户 安全 义务 合格 器具,用户安全用气义务
行政法规,城镇燃气管理条例,REG-001,第二十八条 禁止行为,燃气用户及相关单位和个人不得有下列行为：擅自操作公用燃气阀门；将燃气管道作为负重支架或者接地引线；安装使用不符合气源要求的燃气燃烧器具；擅自安装、改装、拆除户内燃气设施和燃气计量装置；在不具备安全条件的场所使用储存燃气；盗用燃气；改变燃气用途或者转供燃气。,禁止 行为 擅自 改装 盗用,用户禁止行为
行政法规,城镇燃气管理条例,REG-001,第三十三条 设施保护范围,县级以上地方人民政府燃气管理部门应当会同城乡规划等有关部门按照国家有关标准和规定，划定燃气设施保护范围，并向社会公布。在燃气设施保护范围内，禁止建设占压地下燃气管线的建筑物构筑物；进行爆破取土等作业或者动用明火；倾倒排放腐蚀性物质；放置易燃易爆危险物品或者种植深根植物。,保护 范围 禁止 施工 占压,燃气设施保护范围
行政法规,城镇燃气管理条例,REG-001,第四十九条 违法处罚,违反本条例规定，燃气用户及相关单位和个人擅自安装、改装、拆除户内燃气设施的，由燃气管理部门责令限期改正；逾期不改正的，对单位可以处10万元以下罚款，对个人可以处1000元以下罚款；造成损失的，依法承担赔偿责任；构成犯罪的，依法追究刑事责任。,处罚 罚款 擅自 改装 拆除,违法处罚标准
法律,中华人民共和国安全生产法,LAW-001,第三十三条 报警装置,餐饮等行业的生产经营单位使用燃气的，应当安装可燃气体报警装置，并保障其正常使用。,安全生产 报警 餐饮 强制,餐饮业报警器强制要求
地方规范,湖南省燃气管理条例,LOC-001,第七条 建设要求,配套建设的管道燃气设施，应当与主体工程同时设计、同时施工、同时竣工验收。燃气专业规划范围内新建的十层以上住宅和高度在二十米以上的主要使用燃气燃料的公共建筑，必须配套建设管道燃气设施。,三同时 建设 配套 10层,新建住宅燃气配套要求
地方规范,湖南省燃气管理条例,LOC-001,第二十六条 计量争议,管道燃气计量以燃气计量表的记录为准。用户对计量有异议的可以申请检定。检定合格的由申请人承担检定费并按原记录计费；检定不合格的由供气企业承担检定费，并自检定之日起向前追溯至上次检定日（最长12个月）按检定结果调整计费。,计量 检定 争议 退费,计量争议处理
行业标准,城镇燃气设计规范,STD-001,GB 50028-2020 室内管道,室内燃气管道应为明管敷设，不得穿越卧室、起居室和卫生间。燃气管道与电气线路水平净距不小于30cm，交叉净距不小于10cm。嵌入式灶具下方橱柜须开设不小于80平方厘米的通风孔。,管道 明管 卧室 间距 通风孔,室内燃气管道敷设规范
