一级标签,二级标签,标签定义,用户问题,标准回答,回答来源,法规依据,依据编码,关键词,同义词,风险等级,适用场景,备注
业务申请,工商业报装,,饭店开户和居民有什么不同？,"关于""饭店开户和居民有什么不同？""，商业用户请携带营业执照、食品经营许可证（餐饮类）、法人身份证等原件加盖公章到营业厅办理。需安装可燃气体报警装置。小微餐饮可通过极简报装通道办理。详情拨打0734-8677777。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,工商业报装,,饭店用燃气和居民有什么不同？,"关于""饭店用燃气和居民有什么不同？""，商业用户请携带营业执照、食品经营许可证（餐饮类）、法人身份证等原件加盖公章到营业厅办理。需安装可燃气体报警装置。小微餐饮可通过极简报装通道办理。详情拨打0734-8677777。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,工商业报装,,商铺开户流程？,"关于""商铺开户流程？""，商业用户请携带营业执照、食品经营许可证（餐饮类）、法人身份证等原件加盖公章到营业厅办理。需安装可燃气体报警装置。小微餐饮可通过极简报装通道办理。详情拨打0734-8677777。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,工商业报装,,商铺用燃气流程？,"关于""商铺用燃气流程？""，商业用户请携带营业执照、食品经营许可证（餐饮类）、法人身份证等原件加盖公章到营业厅办理。需安装可燃气体报警装置。小微餐饮可通过极简报装通道办理。详情拨打0734-8677777。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,工商业报装,,工厂开户需要满足什么？,"关于""工厂开户需要满足什么？""，商业用户请携带营业执照、食品经营许可证（餐饮类）、法人身份证等原件加盖公章到营业厅办理。需安装可燃气体报警装置。小微餐饮可通过极简报装通道办理。详情拨打0734-8677777。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,工商业报装,,工厂用燃气需要满足什么？,"关于""工厂用燃气需要满足什么？""，商业用户请携带营业执照、食品经营许可证（餐饮类）、法人身份证等原件加盖公章到营业厅办理。需安装可燃气体报警装置。小微餐饮可通过极简报装通道办理。详情拨打0734-8677777。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
气费管理,收费标准,,饭店怎么收费？,"关于""饭店怎么收费？""，商业用户请携带营业执照、食品经营许可证（餐饮类）、法人身份证等原件加盖公章到营业厅办理。需安装可燃气体报警装置。小微餐饮可通过极简报装通道办理。详情拨打0734-8677777。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,用气常识,,开户办理-工商业开户-常见问题1：我想要了解开户办理中关于工商业开户方面的详细信息，请问有什么需要注意的？,关于开户办理工商业开户方面的问题：建议您联系衡阳天然气客服热线0734-8677777获取最准确的信息，或关注微信公众号衡阳天然气在线查询相关服务指南。衡阳天然气公司将为您提供专业的解答和服务。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,用气常识,,开户办理-工商业开户-常见问题2：我想要了解开户办理中关于工商业开户方面的详细信息，请问有什么需要注意的？,关于开户办理工商业开户方面的问题：建议您联系衡阳天然气客服热线0734-8677777获取最准确的信息，或关注微信公众号衡阳天然气在线查询相关服务指南。衡阳天然气公司将为您提供专业的解答和服务。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
安全用气,用气常识,,开户办理-工商业开户-常见问题3：我想要了解开户办理中关于工商业开户方面的详细信息，请问有什么需要注意的？,关于开户办理工商业开户方面的问题：建议您联系衡阳天然气客服热线0734-8677777获取最准确的信息，或关注微信公众号衡阳天然气在线查询相关服务指南。衡阳天然气公司将为您提供专业的解答和服务。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
